 BOM TRABALHO ,
FORO PRIVILEGIADO,FORO
VACINAS,VACINA
INFORMAÇOES,INFORMAÇAO
CORONAVIRUSCONFIRA,CORONAVIRUS
CORONA VIRUS,CORONAVIRUS
GOVERNO FEDERAL,GOVERNO_FEDERAL
PARTIDOS,PARTIDO
POLITICOS,POLITICO
ELEIÇOES,ELEIÇAO
PRESIDENTES,PRESIDENTE
GOVERNADORES,GOVERNADOR
GOVERNADORAS,GOVERNADOR
GOVERNADORA,GOVERNADOR
SENADORES,SENADOR
SENADORAS,SENADOR
SENADORA,SENADOR
DEPUTADOS,DEPUTADO
DEPUTADAS,DEPUTADO
DEPUTADA,DEPUTADO
PREFEITOS,PREFEITO
PREFEITAS,PREFEITO
PREFEITA,PREFEITO
ASSESSORIA DE IMPRENSA,ASSESSORIA_DE_IMPRENSA
PRECISA SABER,
CONSCIÊNCIA NEGRA,CONSCIENCIA_NEGRA
COMECOU CIRCULAR,
SIGANOS WA,
BOLETIM DE FAKE NEWS NOVAS,
ROBO CHECADORA,
TIRA DUVIDAS,
DESENHAMOS FATOS SOBRE,
 JANEIRO ,
 FEVEREIRO ,
 MARÇO ,
 ABRIL,
 MAIO ,
 JUNHO ,
 JULHO ,
 AGOSTO ,
 SETEMBRO ,
 OUTUBRO ,
 NOVEMBRO ,
 DEZEMBRO ,
 NAO PERCA ,
CONDENADOS,CONDENADO
CONDENADAS,CONDENADO
CONDENADA,CONDENADO
LADROES , LADRAO 
 LADRAS , LADRAO 
 LADRA , LADRAO 
BANDIDOS,BANDIDO
BANDIDAS,BANDIDO
BANDIDA,BANDIDO
CORRUPTOS,CORRUPTO
CORRUPTAS,CORRUPTO
CORRUPTA,CORRUPTO
PETISTAS,PETISTA
BRASILEIROS,BRASILEIRO
BRASILEIRAS,BRASILEIRO
BRASILEIRA,BRASILEIRO
NEGROS,NEGRO
NEGRAS,NEGRA
VC,VOCE
VCS,VOCE
FORTE ABRAÇO,FORTE_ABRAÇO
FORTE ABRACO,FORTE_ABRAÇO
BOM DIA,BOM_DIA
BOA TARDE,BOA_TARDE	
BOA NOITE,BOA_NOITE	
REDES SOCIAIS,REDES_SOCIAIS
REDE SOCIAL,REDES_SOCIAIS
DE ACORDO,DE_ACORDO	
VAMOS JUNTOS,	
 MA FE , MÁ_FÉ 
VIDEOS MOSTREM,
VIDEO MOSTRE,
IMAGENS MOSTREM,
IMAGEM MOSTRE,
FOTO MOSTRE,
FOTOS MOSTREM,
MENSAGEM QUE FALA EM,
QUE DIZ QUE,
NAO E VERDADE QUE,
PROJETO COMPROVA,
PROJETOCOMPROVA,
ESTADOS UNIDOS,EUA
PACIENTES,PACIENTE
PRIMEIRO TURNO,PRIMEIRO_TURNO	
SEGUNDO TURNO,SEGUNDO_TURNO
COPA AMERICA,COPAAMERICA
